symbol,name
A,Agilent Technologies Inc. Common Stock
AA,Alcoa Corporation Common Stock 
AAC,Ares Acquisition Corporation Class A Ordinary Shares
AACT,Ares Acquisition Corporation II Class A Ordinary Shares
AAIC,Arlington Asset Investment Corp Class A (new)
AAIC-PB,Arlington Asset Investment Corp 7.00% 
AAIC-PC,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026
AAN,Aarons Holdings Company Inc. Common Stock 
AAP,Advance Auto Parts Inc.
AAT,American Assets Trust Inc. Common Stock
AB,AllianceBernstein Holding L.P.  Units
ABBV,AbbVie Inc. Common Stock
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABG,Asbury Automotive Group Inc Common Stock
ABM,ABM Industries Incorporated Common Stock
ABR,Arbor Realty Trust Common Stock
ABR-PD,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share
ABR-PE,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
ABR-PF,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share
ABT,Abbott Laboratories Common Stock
AC,Associated Capital Group Inc. Common Stock
ACA,Arcosa Inc. Common Stock 
ACCO,Acco Brands Corporation Common Stock
ACEL,Accel Entertainment Inc. 
ACHR,Archer Aviation Inc. Class A Common Stock
ACI,Albertsons Companies Inc. Class A Common Stock
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACP,abrdn Income Credit Strategies Fund Common Shares
ACP-PA,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
ACR,ACRES Commercial Realty Corp. Common Stock
ACR-PC,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock 
ACR-PD,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ADC,Agree Realty Corporation Common Stock
ADC-PA,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock
ADCT,ADC Therapeutics SA Common Shares
ADM,Archer-Daniels-Midland Company Common Stock
ADNT,Adient plc Ordinary Shares 
ADT,ADT Inc. Common Stock
ADX,Adams Diversified Equity Fund Inc.
AEE,Ameren Corporation Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,Aegon Ltd. New York Registry Shares
AEL,American Equity Investment Life Holding Company Common Stock
AEL-PA,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A
AEL-PB,American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B
AEM,Agnico Eagle Mines Limited Common Stock
AENZ,Aenza S.A.A. American Depositary Shares
AEO,American Eagle Outfitters Inc. Common Stock
AER,AerCap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AESC,The AES Corporation Corporate Units
AESI,Atlas Energy Solutions Inc. Common Stock
AEVA,Aeva Technologies Inc. Common Stock
AFB,AllianceBernstein National Municipal Income Fund Inc
AFG,American Financial Group Inc. Common Stock
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060
AFL,AFLAC Incorporated Common Stock
AFT,Apollo Senior Floating Rate Fund Inc. Common Stock
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGCO,AGCO Corporation Common Stock
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
AGI,Alamos Gold Inc. Class A Common Shares
AGL,agilon health inc. Common Stock
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM-PC,Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg
AGM-PD,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D
AGM-PE,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E
AGM-PF,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F
AGM-PG,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G
AGO,Assured Guaranty Ltd. Common Stock
AGR,Avangrid Inc. Common Stock
AGRO,Adecoagro S.A. Common Shares
AGS,PlayAGS Inc. Common Stock
AGTI,Agiliti Inc. Common Stock
AGX,Argan Inc. Common Stock
AHH,Armada Hoffler Properties Inc. Common Stock
AHH-PA,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock
AHL-PC,Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares
AHL-PD,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
AHL-PE,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares
AHT,Ashford Hospitality Trust Inc Common Stock
AHT-PD,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT-PF,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT-PG,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AHT-PH,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
AHT-PI,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
AI,C3.ai Inc. Class A Common Stock
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025
AIF,Apollo Tactical Income Fund Inc. Common Stock
AIG,American International Group Inc. New Common Stock
AIG-PA,American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock
AIN,Albany International Corporation Common Stock
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIR,AAR Corp. Common Stock
AIRC,Apartment Income REIT Corp. Common Stock
AIT,Applied Industrial Technologies Inc. Common Stock
AIU,Meta Data Limited ADS
AIV,Apartment Investment and Management Company Common Stock
AIZ,Assurant Inc. Common Stock
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061
AJG,Arthur J. Gallagher & Co. Common Stock
AJX,Great Ajax Corp. Common Stock
AJXA,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024
AKA,a.k.a. Brands Holding Corp. Common Stock
AKO-A,Embotelladora Andina S.A.
AKO-B,Embotelladora Andina S.A.
AKR,Acadia Realty Trust Common Stock
AL,Air Lease Corporation Class A Common Stock
AL-PA,Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series A
ALB,Albemarle Corporation Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCC,AltC Acquisition Corp. Class A Common Stock
ALE,Allete Inc.
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company
ALG,Alamo Group Inc. Common Stock
ALIT,Alight Inc. Class A Common Stock
ALK,Alaska Air Group Inc. Common Stock
ALL,Allstate Corporation (The) Common Stock
ALL-PB,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALL-PH,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H
ALL-PI,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I
ALL-PJ,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J
ALLE,Allegion plc Ordinary Shares
ALLG,Allego N.V. Ordinary Share
ALLY,Ally Financial Inc. Common Stock
ALSN,Allison Transmission Holdings Inc. Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG-PA,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
ALUR,Allurion Technologies Inc. Common Stock
ALV,Autoliv Inc. Common Stock
ALX,Alexander's Inc. Common Stock
AM,Antero Midstream Corporation Common Stock
AMBC,Ambac Financial Group Inc. Common Stock
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH-PG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH-PH,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMK,AssetMark Financial Holdings Inc. Common Stock
AMN,AMN Healthcare Services Inc
AMP,Ameriprise Financial Inc. Common Stock
AMPS,Altus Power Inc. Class A Common Stock
AMPX,Amprius Technologies Inc. Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMTB,Amerant Bancorp Inc. Class A Common Stock
AMTD,AMTD IDEA Group American Depositary Shares each representing two Class A Ordinary Shares
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares
AN,AutoNation Inc. Common Stock
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANVS,Annovis Bio Inc. Common Stock
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
AOMR,Angel Oak Mortgage REIT Inc. Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AORT,Artivion Inc. Common Stock
AOS,A.O. Smith Corporation Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APCA,AP Acquisition Corp Class A Ordinary Shares
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
APH,Amphenol Corporation Common Stock
APLE,Apple Hospitality REIT Inc. Common Shares
APO,Apollo Global Management Inc. (New) Common Stock
APO-PA,Apollo Global Management Inc. 6.75% Series A Mandatory Convertible Preferred Stock
APOS,Apollo Global Management Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053
APTV,Aptiv PLC Ordinary Shares
AQN,Algonquin Power & Utilities Corp. Common Shares
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AQNU,Algonquin Power & Utilities Corp. Corporate Units
AR,Antero Resources Corporation Common Stock
ARC,ARC Document Solutions Inc. Common Stock
ARCH,Arch Resources Inc. Class A Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,Argo Group International Holdings Ltd.
ARGO-PA,Argo Group International Holdings Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.00% Resettable Fixed Rate Preference Share Series A
ARI,Apollo Commercial Real Estate Finance Inc
ARIS,Aris Water Solutions Inc. Class A Common Stock
ARL,American Realty Investors Inc. Common Stock
ARLO,Arlo Technologies Inc. Common Stock
ARMK,Aramark Common Stock
AROC,Archrock Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARR-PC,ARMOUR Residential REIT Inc. 7% Series C Cumulative Redeemable Preferred Stock (liquidation preference $25.00 per share)
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASAI,Sendas Distribuidora S A ADS
ASAN,Asana Inc. Class A Common Stock
ASB,Associated Banc-Corp Common Stock
ASB-PE,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of 5.875% Non-Cumulative Perpetual Preferred Stock Series E
ASB-PF,Associated Banc-Corp Depositary Shares each representing a 1/40th interest in a share of Associated Banc-Corp 5.625% Non-Cumulative Perpetual Preferred Stock Series F
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock 
ASPN,Aspen Aerogels Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares) 
ATCO-PD,Atlas Corp. 7.95% Series D
ATCO-PH,Atlas Corp. 7.875% Series H
ATCO-PI,Atlas Corp. Series I Fixed-to-Floating 
ATEN,A10 Networks Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATH-PA,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share Series A
ATH-PB,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 5.625% Fixed Rate Perpetual Non- Cumulative Preference Share Series B par value $1.00 per share
ATH-PC,Athene Holding Ltd. Depositary Shares each representing a 1/1000th Interest in a Share of 6.375% Fixed-Rate Reset Perpetual Non-Cumulative Preference Shares Series C
ATH-PD,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 4.875% Fixed-Rate Perpetual Non-Cumulative Preference Share Series D
ATH-PE,Athene Holding Ltd. Depositary Shares Each Representing a 1/1000th Interest in a 7.750% Fixed-Rate Reset Perpetual Non-Cumulative Preference Share Series E
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATI,ATI Inc. Common Stock
ATIP,ATI Physical Therapy Inc. Class A Common Stock
ATKR,Atkore Inc. Common Stock
ATMU,Atmus Filtration Technologies Inc. Common Stock
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATS,ATS Corporation Common Shares
ATUS,Altice USA Inc. Class A Common Stock
AU,AngloGold Ashanti PLC Ordinary Shares
AUB,Atlantic Union Bankshares Corporation Common Stock
AUB-PA,Atlantic Union Bankshares Corporation Depositary Shares each representing a 1/400th ownership interest in a share of 6.875% Perpetual Non-Cumulative Preferred Stock Series A
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
